Nº CFM,Nome da Instituição,Sigla,CNPJ,Endereço,Município,Região,Telefone Institucional,E-mail Institucional,Site,Facebook,Instagram,Twitter,Natureza Administrativa do Museu,Documento de Criação,Situação,Funcionamento,Valor ingresso,Gratuidades,Setor Educativo,Acervo Predominante,Museólogo,Acessibilidade,Histórico,Responsável pelo Casdastro,"Data 
Cadastro",Certificado enviado,Lat,Lng
147,Museu da República,MR,10.898.596/0022-77,"Rua do Catete, 153, Catete",Rio de Janeiro,Metropolitana I,(21) 613521-4243 (?),mr@museus.gov.br,https://museudarepublica.museus.gov.br/,museudarepublica,museudarepublica,-,Federal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,"Museu da República / Palácio do Catete – Dispõe de banheiro para pessoas com deficiência (PCD), fraldário unissex e rampa de acesso; autorização para uso da grama dos jardins para andar, estender cangas, deitar e contemplar, o que permite uma permanência delongada dos visitantes, mais inclusiva e com maior interação com plantas e animais; manutenção do asfalto das vias do jardim; elevadores para acesso ao prédio administrativo, ao auditório, à sala multimídia e aos três pavimentos do Palácio; brigadistas, treinados para atender pessoas com deficiência; horário exclusivo de visitação para pessoas com deficiência intelectual severa - quartas-feiras, das 10h às 11h; recepcionista fluente em Libras; objetos acessíveis que representam peças do acervo e ambientes do Palácio; e, em elaboração, áudio-guias acessíveis por QR code pelo celular.

Museu da República / Palácio Rio Negro - O Projeto Completo de Restauração Integral do Museu Palácio Rio Negro contempla ações e normas de acessibilidade.
","""Museu da República

Palácio do Catete - Rio de Janeiro/RJ

O Palácio Nova Friburgo, depois Palácio do Catete, construído entre 1858 e 1867 pelo comerciante e fazendeiro de café Antônio Clemente Pinto, Barão de Nova Friburgo, consagrou‐se como um monumento de grande importância histórica, arquitetônica e artística. Erguido no Rio de Janeiro, então Capital Imperial, tornou‐se símbolo do poder econômico da elite cafeeira e escravocrata do Brasil oitocentista. Em 1896, durante o mandato do presidente Prudente de Moraes, o Palácio foi adquirido pelo Governo
Federal para sediar a Presidência da República. Durante 63 anos, o Palácio foi o coração do Poder Executivo no Brasil. Coube a Juscelino Kubitschek encerrar a era presidencial do Palácio, com a transferência da capital para Brasília, em 1960, quando, reorganizado, o Palácio do Catete passou a abrigar o Museu da República. O Museu da República é um museu contemporâneo, comprometido com os direitos humanos e a cidadania; seu Jardim Histórico, ambientações e exposições contam parte da história do Brasil Republicano, representada por fotos, objetos e obras de arte dos séculos XIX, XX e XXI.  

Palácio Rio Negro - Petrópolis/RJ

O edifício de estilo eclético, característico dos fins do século XIX, foi construído em 1889 pelo engenheiro italiano Antonio Jannuzzi para ser a residência de verão dos Rio Negro. Em 1896, o Barão do Rio Negro e sua família, vivendo em Paris, venderam o Palácio para o governo do Estado do Rio de Janeiro. Petrópolis passa a ostentar o título de capital do Estado até 1903, quando, sob o governo de Quintino Bocaiúva, a capital retorna para Niterói. Neste mesmo ano, o Palácio Rio Negro torna‐se, então, residência de verão dos presidentes da República. Com a mudança da capital para Brasília, em 1960, a tradição do veraneio em Petrópolis foi dificultada pela distância entre as duas cidades. Em 2007, o Museu da República passou a incorporar em sua estrutura organizacional o Palácio Rio Negro.
A importância do Palácio Rio Negro advém, além da imponência de seu edifício e de seu jardim, de sua participação na construção da história republicana do Brasil.""",Livia Murer Nacif Gonçalves - Chefe da Divisão Técnica,05/01/2024,OK,-22.9258988,-43.1762145
148,Casa Zuzu Angel / Museu da Moda,IZA,12.94.66/0001-91,"Rua Rocha Miranda, 53. Usina.",Rio de Janeiro,Metropolitana I,(21) 99856-3313,zuzuangel@zuzuangel.com.br,https://www.zuzuangel.com.br,Facebook: Instituto Zuzu Angel,Instagram: @instzuzuangel_oficial,,Privada,Ata,Em implantação,-,Gratuito,-,Sim,Outros,Sim,-,"O Instituto Zuzu Angel foi fundado em 1993, porém somente em 2016 que a Casa Zuzu Angel/ Museu da Moda surgiu, devido a uma demanda de se criar um espaço físico para comportar os acervos de moda e documentais de Zuzu Angel e do museu da moda. Assim, a diretora do Instituto, Hildegard Angel, cedeu sua antiga casa da Usina como sede, sofrendo alterações para receber os acervos museológicos. Reservas técnicas climatizadas e com isolamento foram criadas, os acervos começaram a ser devidamente acondicionados em polionda, com reservas separadas pelas tipologias de acervos: documental, têxtil e mais recentemente uma biblioteca. A casa comporta atualmente acervos do ateliê e vida pessoal de Zuzu Angel, peças de estilistas nacionais e internacionais, além de personalidades brasileiras, como Chacrinha, Marlene, Martha Rocha e Carmen Mayrink Veiga.",Sofia Duarte Girard de Oliveira - Museóloga,09/01/2024,OK,-22.9446620,-43.2604662
149,Museu de Arte e Cultura da Baixada,-,-,"Rua Tomais Fonseca, 1028",Nova Iguaçu,Metropolitana II,(21) 99987-2194,elaineisadora2013@gmail.com,www.museubxd.com.br,-,@museubxd,-,Privada,Não existe documentação de criação do museu,Em implantação,-,Gratuito,-,Sim,Artes Visuais,Sim,-,"""O Museu de Arte e Cultura Urbana da Baixada Fluminense, carinhosamente
conhecido como Museu BXD, surgiu oficialmente em 2022 como uma manifestação
da união e esforço coletivo de artistas da Baixada Fluminense. Desde os anos 2000,
esses artistas desempenham um papel fundamental na cena da arte e cultura
urbana, celebrando os Quatro Elementos do Hip Hop (DJ, MC, B.Boy e Graffiti) e
outras expressões artísticas. Ao longo de sua trajetória, o Museu BXD tem dedicado
seus esforços à oferta e construção de atividades culturais e educacionais para a
população da Baixada Fluminense.""",Edson Eduardo Soares - Presidente,10/01/2024,OK,-22.7592175,-43.4508728
150,Ecomuseu do Quarteirão Cultural do Matadoro de Santa Cruz,-,31.24.77/0001-02,"Rua 12, 1 - Santa Cruz( dentro da Areninha Sandra Sá)",Rio de Janeiro,Metropolitana I,(21) 2976 -2548,ecomuseusantacruz@gmail.com,-,-,Instagram: @ecomuseusantacruz,-,Municipal,Lei,"Aberto, funcionando parcialmente",Terça a Quinta - Manhã e Tarde / Sábado de Manhã,Gratuito,-,Sim,Outros,Não,"Rampas, banheiros e elevador plataforma cadeirante","Criado pela Lei Municipal n° 2.354 de 01/09/1995, estende - se por todo o bairro de Santa Cruz desenvolvendo atividades educativas relacionadas ao patrimônio material e imaterial do território.",Heloisa Helena Queiroz - Gerente de Museus,29/01/2024,OK,-22.9110137,-43.2093727
151,Sociedade Musical Euterpe Lumiarense,-,42.94.510/0001-70,"Praça Levi Aires Brust, s/n⁰. Lumiar ",Nova Friburgo,Serrana,(22) 99238-9869,contatoeuterpelumiarense@gmail.com,http://sociedade musicaleuterpelumiarense.flazio.com,Sociedade.Musical.Euterpe.Lumiarense,@Euterpe.Lumiarense,-,Privada,Estatuto Social,Aberto,Segunda e Quarta - Tarde / Sexta Manhã e Tarde,Gratuito,-,Sim,Histórico,Não,"Nossa sede histórica fica em uma Praça, ao nível do chão, então para atendimento a cadeirantes é tranquilo. Não há acessibilidade para os documentos a pessoas com deficiências visuais. Nossa escola de música é inclusiva de acordo com nossas possibilidades.","A Sociedade Musical Euterpe Lumiarense foi fundada no dia 20 de janeiro de 1891, dois anos depois da proclamação da república, por iniciativa das famílias Marchon, Spitz, Klein, Brust, Berbert, Heiderich, Martins da Costa e outros. É uma escola de música. Tem uma importância cultural muito significativa, atendendo as comunidades que hoje formam o 5º e 7º distritos de Nova Friburgo – Lumiar e São Pedro da Serra.Revitalizada na década de 1960, quando foi construída sua sede social, funcionou até o início da década de 1970, quando sofreu outra paralisação. Novas tentativas foram feitas nas décadas de 1980 e 1990, mas, a falta de recursos, principalmente financeiros, não permitiu o sucesso. No dia 29 de fevereiro de 2008, uma nova diretoria foi formada, procurando, logo, realizar a atualização do Estatuto Social pelo Código Civil de 2002. Somos uma OSCIP (Organização da Sociedade Civil de Interesse Público), Ponto de cultura, Ponto de Memória, com chancela da rede Cultura Viva, participante da Teia de pontos de cultura e memória rurais. Patrimônio Imaterial do povo friburguense. A diretoria conta com a saxofonista Maria Angélica da Cunhalima Gomes como presidente e o músico Sérgio Canas Prata como vice. O espaço físico da sociedade pode ser utilizado por pessoas que queiram ensinar artes com preços populares na região. A sede social tem exposta toda a memória da banda, instrumentos antigos e os documentos desde 1891. Está aberto regularmente, mas as sextas-feiras é possível solicitar para apreciar a documentação, que já está catalogada pelo historiador Manoel Antônio Spitz Sodré.",Marcela da Rocha Klain Brust - Pedagoga,02/01/2024,OK,-22.2800004,-42.5325303
152,Ponto de Cultura e Memória Vidigal Cultural,-,31.885.865/0001-06,"Rua Benedito Calixto N° 88 casa 06 Bairro Vidigal Cep 22450-260. Porém, Atuamos Na Avenida Presidente João Goulart N° 737 3°Andar Bairro: Vidigal.",Rio de Janeiro,Metropolitana I,(21) 99403-7354,projetovidigalcapoeira@gmail.com,www.vidigalcapoeira.com.br,facebook.com/projetovidigalcapoeira,@Nvidigalcapoeira,-,Municipal,Estatuto Social,Aberto,Segunda a Sexta - Tarde e Noite / Sábado e Domingo de Manhã,Gratuito,-,Sim,Outros,Não,"Acesso gratuito a toda programação do projeto, realização do projeto em espaços que possuem rampas de acesso para cadeirantes; Profissionais qualificados para orientar e atender pessoas com diferentes necessidades especiais; proporcionamos condições de acessibilidade a pessoas idosas. Sempre que necessário um profissional parceiro da instituição faz a tradução através de linguagem brasileira de sinais voltados para deficientes auditivos, todos os espaços que acolhem o projeto possuem acessibilidade.","""O ponto de memoria e Cultura Vidigal Cultural que também atende pelo nome projeto Vidigal capoeira, fundado em 2010 têm por objetivo promover a aproximação dos moradores do Vidigal e comunidades vizinhas às artes e proporcionar a diversidade de experiências estéticas e artísticas das expressões da cultura de matriz africana. Além de criação, formação, pesquisa, reflexão, intercâmbio, preservação de acervos e a diversidade das expressões artísticas afroindigenabrasileira e a formação de público no estado do Rio de Janeiro e território nacional. Valorizando a produção artística afrocultural na sua dimensão econômica, contribuindo para o desenvolvimento da rede produtiva das artes e de seus multiplicadores através da estímulos de ações de memoria e museologia social. 
A instituição desde 2012 possui um plano de atividades anual denominado “Atividades permanentes do Ponto de Cultura e Memoria Vidigal Cultural"""" Destaque para:
•	Ensino pratico, histórico e fundamentado de capoeira e as danças afro brasileira.
•	Manutenção, confecção e toques de instrumentos.
•	Produção e arquivos de literaturas de cordel.
•	Leitura dramatizada.
•	Produção da biblioteca digital do ponto de memoria.
•	Montagens de espetáculos
•	Produção de registros fonográfico, literário e do audiovisual.
•	Contação de história.
•	Vivencias com mestras, mestres e fazedores de cultura.
•	Mostra mensal de cineclube com filmes do gênero.
•	Lançamentos de livros, filmes e produtos da cultura afro.
•	Oficinas de produção cultural""",Messias Freitas - Conselheiro de Desenvolvimento Institucional,02/04/2024,OK,-22.9110137,-43.2093727
153,Museu da Patologia,MP,-,"Av. Brasil, 4365 - Manguinhos, Rio de Janeiro",Rio de Janeiro,Metropolitana I,(21) 2562-1452/1246,museudapatologia@fiocruz.br,https://museudapatologia.ioc.fiocruz.br/,-,-,-,Federal,Decreto,"Aberto, funcionando parcialmente",Terça a Sábado - Manhã e Tarde,Gratuito,-,Não,Patrimônio Científico e Histórico Natural,Sim,-,"""O Museu da Patologia (MP) foi criado por Oswaldo Cruz em 1903. Segundo os relatórios do
Instituto Oswaldo Cruz, todas as peças anatômicas provenientes dos trabalhos e pesquisas do Instituto deveriam ser protocoladas, além da obrigatoriedade da organização de uma Coleção de preparados de histologia normal e patológica, de embriologia comparada e humana. Nas décadas de 1960 e 1970, durante o chamado “Massacre de Manguinhos”, o Museu sofreu perdas importantes no seu acervo e em sua equipe. Em 2007, o MP foi reestruturado e passou a abrigar três Coleções de material biológico, assim constituídas (http://museudapatologia.ioc.fiocruz.br/index.php/br/museu-patologia/sobremuseu.html): 1. Coleção da Seção de Anatomia Patológica (CSAP): acervo original do Museu da Patologia; 2. Coleção de Febre Amarela (CFA): constitui o acervo gerado pelo Laboratório de
Histopatologia da Febre Amarela, fruto do convênio entre o governo brasileiro e a Fundação Rockefeller, e é composta por 498 mil amostras de fígado coletadas por viscerotomia durante as campanhas antiamarílicas de 1930 a 1970. Acompanha esse material a documentação referente aos protocolos de pesquisa, fotomicrografias de campo claro, de microscopia confocal e de lâminas completas escaneadas e 3. Coleção do Departamento de Patologia (CDEPAT): documento biológico de pesquisa em Patologia Experimental. Este Departamento/Laboratório é historicamente o sucessor da Seção/Divisão de Anatomia Patológica do IOC. Também em 2007, foi desenhado um Plano Diretor do Museu para 10 anos e um novo modus operandi em cinco vertentes de atuação (Patrimônio, Pesquisa,
Desenvolvimento Tecnológico, Ensino e Divulgação Científica). A partir deste momento, o Museu passou a participar de vários editais e desenvolver atividades visando à ampliação de sua visibilidade e formação de público. Em 2013, foi realizada uma exposição temporária no Castelo da Fiocruz, por um período de seis meses. Atualmente, o Museu está passando por reforma em suas instalações visando, sua reabertura para visitação pública em uma lógica de abrigar uma exposição de longa duração de seu acervo e com atividades interativas para o público visitante.""",Barbara Cristina Euzebio Pereira Dias de Oliveira - Tecnologista em saúde pública/Curadora do Museu da Patologia,02/06/2024,OK,-22.8767563,-43.2469314
154,Projeto Ao Som do Meu Tambor,-,22.490.369/0001-62,RUA ANTONIO RODRIGUES DA SILVA LOTE: 05; QUADRA: 6 BAIRRO: NOVA SUICA CEP: 28.605-723,Nova Friburgo,Serrana,(22) 99283-9071,aosomdomeutambor.2022@gmail.com,-,Facebook: https://www.facebook.com/Aosomdomeutambor?mibextid=JRoKGi,Instagram: https://www.instagram.com/aosomdomeutambor?igsh=MXB5ajB5ZjdpbDdnbw==,-,Estadual,Estatuto Social,Aberto,"Segunda, Terça e Sexta - Tarde e Noite / Terça, Quarta e Quinta - Manhã, Tarde e Noite / Domingo de Manhã",Gratuito,-,Sim,Outros,Não,"Acesso gratuito a toda programação, ações e atividades do projeto, nos espaços de atuação possui rampas de acesso para cadeirantes; Profissionais qualificados PCD para orientar pessoas com diferentes necessidades especiais; proporciona condições de acessibilidade a pessoas idosas. E tem sempre a participação de profissional voluntário do grupo que faz durante as visitas e atividades a tradução através de linguagem brasileira de sinais voltados para deficientes auditivos, todos os espaços que acolhem o projeto possuem acessibilidade.","A instituição foi criada em 2014 desenvolve programas, projetos e ações de museologia social para a identificação, pesquisa e promoção do patrimônio material e imaterial visando o reconhecimento, o consumo e à valorização da memória coletiva através das danças afro brasileiras ( Mineiro Pau, Jongo, Coco, Samba de Roda, Capoeira e Ciranda) Além de preservação de acervo de relevância nas áreas. Com turmas de aulas e praticas voltadas para todas as idades. Além de mostra e produções de filmes e documentários, encontro com mestres dos saberes da área, produção de literaturas do gênero e o trabalho de educação popular afro referenciada. ",,02/07/2024,OK,-22.2800004,-42.5325303
155,Museu do Horto,-,-,Estrada Dona Castorina 105 Horto -Jardim Botânico RJ,Rio de Janeiro,Metropolitana I,(21) 99914-6717,museudohorto@gmail.com,Museudohorto.org,MuseudoHorto. Facebook,@museudohorto Instagram,-,Privada,Ata,"Aberto, funcionando parcialmente",Segunda e Terça - Manhã / Sábado e Domingo - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,As visitas são realizadas no território com a participação do guia oficial do Museu do Horto,"O Museu do Horto foi fundado  em 7 de novembro de 2010 como um museu de território, está localizado na comunidade do Horto que fica no bairro Jardim Botânico um dia bairros mais nobres da cidade. A comunidade tem uma história ancestral oriunda da fundação da cidade do Rio de Janeiro, tendo em vista que a habilitação na comunidade tem seu início com a vinda de D. João VI para o Brasil, quando este veio morar nesta área e fundou o Horto Real, atual Jardim Botânico. O museu do Horto foi criado para fortalecer a resistência da comunidade contra a gentrificação e a remoção, utilizando a história e a memória dos moradores tradicionais como instrumento principal do acervo da instituição. O Museu do Horto como lembro da museologia social, teve participação ativa em vários eventos realizados pelo IBRAM , como as Teias de Memórias realizadas em vários estados. Hoje estamos em fase de reativação devido ao período da a pandemia ,  nos reorganizando com apoio da REMUS.",Emilia Maria de Souza - Cofundadora do Museu do Horto,02/11/2024,OK,-22.9664624,-43.2385522
156,Casa de Cultura / Museu Histórico de Maricá,-,-,Praça Orlando de Barros Pimentel s nº,Maricá,Metropolitana III,(21) 96975-2898,casadecultura@ictim.com.br,marica.rj.gov.br/orgao/museu-historico-de-marica-mhm/,Facebook/Museu Histórico de Maricá,Instagram: @museuhistoricodemarica,-,Municipal,Decreto,Aberto,Todos os dias - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,Nós ainda estamos realizando a adequação acessível da Casa de Cultura. Nós não temos um espaço acessível. O prédio possui dois pavimento ligados por escadaria. Possuímos um elevador mas o mesmo encontra-se quebrado. Estamos em processo de contratação de empresa de manutenção para o elevador. No entanto este processo está sendo bem complexo.,"""O Museu Histórico de Maricá foi criado em 2005 por Decreto municipal. Neste ano ocupou as dependências da Antiga Casa de Câmara e Cadeia de Maricá, uma construção histórica do século XIX, tombada pelo INEPAC e refundada como Casa de Cultura.

No ano de 2015 o Museu foi fechado devido às obras de restauração da Casa de Cultura, reabrindo em 2020. Devido à pandemia do Corona vírus o Museu permanece fechado até junho de 2022 quando retorna às suas atividades educativas e de pesquisa.

No ano de 2023 o Museu passa a integrar a Diretoria de Incentivo e Preservação da Casa de Cultura, pertencente aos quadros administrativos do Instituto de Ciência, Tecnologia e Inovação de Maricá, uma autarquia municipal.

O Museu Histórico de Maricá conta com serviço de exposição aberto gratuitamente ao público, pesquisa informatizada em seus acervos, além de atividades educativas e culturais diversas.

As suas coleções contam com peças museológicas, fotografias, periódicos e documentos diversos que abrangem a história do município desde meados do século XIX até os dias atuais.

O Museu Histórico de Maricá está aberto ao público de terça a sexta feira das 9h às 16h30.""",Blanca Dian Brum Soares - Assessora Chefe de Gabinete,20/02/2024,OK,-22.9088758,-42.8171914
157,Fundação Cultural e Filantrópica Lea Pentagna,-,28.467.306/0001-71,"Rua Vito Pentagna, 213, Benfica",Valença,Médio Paraíba,(24) 2453-4178,lea.pentagnaoficial@yahoo.com.br,https://www.casaleapentagna.org.br/,-,@lea.pentagnaoficial,-,Público-Privada,Ata,Aberto,Sexta e Sábado - Manhã e Tarde,R$1 a R$ 10,Idosos acima de 60 anos; crianças até 8 anos,Sim,Histórico,Sim,O Museu conta com corrimãos para os três degraus da entrada; rampas em construção.,"""A casa-museu é uma construção do século 19, que passou para as mãos da família italiana Pentagna com a falência da lavoura cafeeira e a abolição da escravatura, quando muitas propriedades em Valença foram vendidas a preços baixos. Os Pentagna montaram na cidade a fábrica de tecidos Santa Rosa. Nesta época, a casa, feita com as tradicionais pedras usadas na arquitetura da Belle Époque, sofreu sua primeira grande reforma. Mas só em 1927, com outra obra, adquiriu o estilo neoclássico, preservado na restauração pela qual passou em 2000.

A casa foi transformada em centro cultural da Fundação Cultural Filantrópica Léa Pentagna, a partir de testamento deixado por sua fundadora com o desejo de eternizar o ambiente em que viveu sua família.
A casa foi tombada pelo Inepac em 2004. Além de visita guiada, acontecem exposições e eventos na sala de palestras. Durante a semana, há cursos de dança de salão, piano, crochê e aulas com o coral juvenil Léa Pentagna.""",Ena Jannuzzi - Assessor Imprensa,21/02/2024,OK,-22.2326385,-43.8863929
158,Museu Vivo da Agroecologia,-,-,"Rua das Cotovias, 537, Estância Eldorado, Parque Iriri",Magé,Metropolitana II,(21) 98797-5192,thiagoullmann@hotmail.com,-,-,Instagram: @museuvivodaagroecologia,-,Privada,Ata,"Aberto, funcionando parcialmente",Todos os dias - Manhã e Tarde,Acima de R$30,A combinar.,Sim,Outros,Sim,Acessibilidade natural do ambiente. Trechos de fácil acesso. Trechos de difícil acesso.,Fundado em 2023 no segmento de museologia social e comunitária como um museu a céu aberto englobando sua sede e demais territórios do município de Magé/RJ com acervo de flora e fauna vivos e percursos variados.,Thiago Ullmann - Coordenador Executivo,22/02/2024,OK,-22.6042779,-43.1081091
159,Grupo Cultural Capoeira Ginga de Corpo,-,-,"Rua 39, jardim Catarina, velho",São Gonçalo,Metropolitana III,(21) 98515-6035,rcgaletosnoronha@gmail.com,-,Facebook: carlacristinamestrazangada,-,-,Estadual,Ata,Aberto,"Segunda, Terça e Sexta - Noite",R$10 a R$20,Carentes,Não,Outros,Não,Não possui barreiras,"Grupo de capoeira destinado a trabalhar em comunidades com jovens, adolescentes e adultos contribuindo no aspecto social e cultural e educacional dos mesmos.",Carla Cristina de Oliveira Noronha - Enfermeira/Mestre Capoeira,23/02/2024,OK,-22.8216350,-42.9956797
160,Museu e Casa de Cultura José de Dome,-,28.549.483/0001-05,Avenida Assunção 855,Cabo Frio,Baixadas Litorâneas,(31) 99914-7787,cultura@cabofrio.rj.gov.br,https://cabofrio.rj.gov.br/secretarias/secretaria-de-cultura/,-,-,-,Municipal,Lei,Aberto,Segunda a Sexta - Manha e tarde / Sábado e Domingo - Tarde,Gratuito,-,Sim,Artes Visuais,Sim,Temos uma entrada para cadeirante e outros e as etiquetas das obras e informativos de fontes de tamanho grande para baixa visão.,"O Museu Casa de Cultura José de Dome, criado em 5 de abril de 1985, através do Decreto 857, do Prefeito José Bonifacio Novellino, tem sua formação e desenvolvimento a partir da incorporação em seu acervo da coleção de telas do artista José de Dome, pintor modernista premiado em diversos salões e suas obras estão em exposição permanente do Museu de Arte Negra do Estado de São Paulo, e no seu Regimento Interno de 2010, se propõe a missão de abrigar Arte Contemporânea produzida em Cabo Frio. ",Helvia Vorcaro - Gestora,23/02/2024,OK,-22.8787075,-42.0167482
161,Casa da Descoberta,CD,,"Av. Milton Tavares de Souza, s/nº - Boa Viagem, Niterói - RJ, 24210-340",NIterói,Metropolitana III,(21) 26295120,casadadescoberta.egf@id.uff.br,www.casadadescoberta.uff.br,www.facebook.com/casadadescobertauff,@casadadescobertauff,,Federal,Não existe documentação de criação do museu,Aberto,"Segunda a Sábado - Manhã e Tarde / Quarta - Manhã, Tarde e Noite",Gratuito,-,Sim,Ciência e Tecnologia,Sim,"O Museu possui visitas guiadas em libras, visitas mediadas para o público cego, a visita guiada é adaptada para cada visitante. Com relação a acessibilidade física, o Museu possui banheiros para PCDs, elevadores e o seu entorno (calçadas e ruas) é parcialmente acessível.","Em 2000, foi criada a Casa da Descoberta - o Centro de Divulgação de Ciência da UFF, com o objetivo principal de participar do processo de ampliação dos níveis de alfabetismo científico dos indivíduos em geral. Contando hoje com uma coleção de mais de 60 experimentos interativos, a Casa da Descoberta recebe visitas de alunos de escolas públicas e privadas de Niterói e arredores de todas as faixas etárias, desde o pré-escolar até o ensino superior. Recebe também visitas da comunidade. Os experimentos pertencem as áreas de Astronomia, Física, Química, Biologia, Matemática e Realidade Virtual. As visitas são guiadas, por mediadores, que estimulam o uso dos equipamentos e explicam os conceitos científicos presentes nos mesmos de maneira informal, sem utilização de jargões científicos. A Casa da Descoberta recebe cerca de 7 mil visitantes anuais. Além das visitas guiadas, realiza, entre outras atividades, oficinas para os visitantes, itinerâncias  e observações do céu noturno.O Museu funciona de segunda a sexta feiras das 9h às 17h, com intervalo para o almoço entre 12h e 14h. As observações do céu noturno são realizadas às quartas-feiras das 18h às 21h. Com o objetivo de receber público espontâneo abrimos dois sábados por mês, das 10h às 16h.",Érica Cristina Nogueira - Diretora,26/02/2024,OK,-22.8884000,-43.1147000
162,Museu da Vida Fiocruz,MVF,33.781.055/001-964,"Av. Brasil, 4365, Manguinhos",Rio de Janeiro,Metropolitana I,(21) 3865-2128,museudavida@fiocruz.br,museudavida.fiocruz.br,museudavidafiocruz,museudavidafiocruz,museudavida,Federal,Resolução,Aberto,Terça à Sábado - Manhã e Tarde,Gratuito,-,Sim,Patrimônio Científico e Histórico Natural,Sim,"As áreas de visitação do Museu da Vida Fiocruz estão sendo modificadas para atender a esse conceito de acessibilidade universal, com elaboração desde 2018 de exposições sob essa vertente. Hoje dispomos de tecnologias assistivas nas diferentes áreas de visitação, como Cavalariça e Parque da Ciência. Também oferecemos temporadas de peças teatrais com libras e audiodescrição.","O Museu da Vida Fiocruz é a unidade técnico-científico da Casa de Oswaldo Cruz que realiza ações de educação, comunicação, preservação de acervos, divulgação e popularização das ciências e da saúde. Fundado em 199, oferece ao público exposições de longa duração e itinerantes, áreas de visitação ao ar livre, espetáculos teatrais, além de ações de formação para professores e jovens dentro e fora do campus Fiocruz Manguinhos. Além disso, o Museu da Vida também possui relevante atuação no ambiente digital, com produção de conteúdo para redes sociais e para o site de ciências InVivo, voltado principalmente para a comunidade escolar.",Julianne Gouveia - Coordenadora - Núcleo de Mídias e Diálogo com o Público,13/03/2024,OK,-22.8782239,-43.2419025
163,"Museu de Arqueologia Bíblica, Histórica e Indígena ",MABHIN,-,"Av. Joaquim da Costa Lima, nº 2333, lotes 4 e 5, Santa Amélia ",Belford Roxo,Metropolitana II,(21) 96475-0171,ibrigrejabelfordroxo@gmail.com,-,-,-,-,Privada,Ata,"Aberto, funcionando parcialmente","Segunda e Quinta - Noite / Quarta, Sexta e Sábado - Manhã",Gratuito,-,Sim,Arqueologia,Sim,Rampas e banheiro para cadeirante,"Fundado em 19...., na Igreja Belford Roxo, pelo Pastor Evandro, com o objetivo de oferecer ao povo da nossa cidade um pouco da história de outros povos, surgimento da escrita, fatos ocorridos na Segunda Guerra Mundial (atuação da Força Expedicionário Brasileira e o advento da bomba lançada em Hiroshima), sobre os povos originários e sobre registros do Antigo Testamento bíblico.",Jurandir dos Santos Lins - Pastor Auxiliar,24/04/2024,OK,-22.7309996,-43.3796377
164,Centro de Memória do Grêmio Recreativo Cacique de Ramos,-,72.26.72/0001-00,"Rua Uranos, 1326, Olaria",Rio de Janeiro,Metropolitana I,(21) 995950039,centrodememoria@caciquederamos.com.br,https://cmcaciquederamos.com.br/,Facebook: centrodememoriacaciquederamoss,@cmcaciquederamos,-,Privada,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",Quarta - Manhã / Sábado - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,Ainda em processo de adequação,"O Centro de Memória Domingos Félix do Nascimento é um núcleo de referência e centro de documentação responsável pela preservação e difusão da memória institucional e comunitária do Grêmio Recreativo Cacique de Ramos, agremiação que desfila como bloco de embalo e abriga rodas de samba, fundada em 20 de janeiro de 1961. A menção à expressão “centro de memória” remonta ao ano de 2014, quando batizou um espaço decorado com fotografias e objetos, montado pela diretoria da agremiação, em área privada na quadra da instituição. Apenas em 2018 foi oficialmente constituído como projeto de documentação e pesquisa. Desde então, o núcleo se estruturou como uma instância física e virtual vinculada à diretoria do Cacique de Ramos. Ocupamos espaço na sede do Cacique de Ramos onde são desenvolvidas as atividades de guarda de acervo e processamento técnico, atendimento a usuários e gravação de entrevistas. Atuamos na formação, organização e disponibilização do acervo documental; na pesquisa sócio-histórica e produção de referências; e na difusão cultural e educacional. Realizamos atendimento remoto e presencial a pesquisadores, realizadores e interessados de um modo geral no Cacique de Ramos. Da mesma forma, somos o setor da agremiação responsável pelo assessoramento à presidência e diretoria nos assuntos pertinentes à cultura e memória. Possuímos redes sociais nas quais são difundidas, por meio de textos e imagens, notícias sobre o trabalho desenvolvido e conteúdo original. O nome do Centro de Memória incorpora homenagem realizada ainda na primeira versão da iniciativa, em 2014. Faz menção ao patriarca de uma das famílias fundadoras, Seu Domingos, pai de Bira Presidente, Ubirany, Ubiracy e Conceição, sambista e boêmio que ensinou aos filhos o gosto pelo carnaval, o samba e a festa.",Walter da Silva Pereira Junior - Coordenador e Historiador,10/05/2024,OK,-22.8500972,-43.2653505
